MULT	u2base(User0,item20)	rating(User0,item20)	action(item20)	Age(User0)	drama(item20)	Gender(User0)	horror(item20)
1	T	2	0	2	0	F	1
1	T	5	1	2	0	F	1
3	T	1	1	2	0	M	1
3	T	1	1	2	1	M	0
4	T	1	1	2	1	F	0
4	T	2	0	0	1	F	1
4	T	4	0	2	1	M	1
4	T	5	0	1	1	F	1
4	T	5	0	1	1	M	1
4	T	5	0	2	0	F	1
5	T	1	0	1	1	F	1
5	T	1	1	2	0	F	0
5	T	2	0	1	1	F	1
5	T	2	1	2	1	F	0
5	T	4	0	2	0	F	1
6	T	1	0	0	1	M	1
6	T	4	0	1	1	F	1
7	T	1	1	1	0	F	1
7	T	3	1	2	1	F	0
7	T	4	0	0	1	F	1
8	T	1	0	0	1	F	1
8	T	1	0	2	0	M	1
9	T	1	0	1	1	M	1
9	T	3	0	2	0	F	1
9	T	3	0	2	1	M	1
9	T	5	0	0	1	M	1
9	T	5	1	2	1	F	0
10	T	1	0	2	1	F	0
11	T	3	0	1	1	F	1
12	T	1	0	2	0	F	0
12	T	1	1	1	1	F	0
12	T	2	1	2	0	F	0
12	T	2	1	2	0	M	1
12	T	3	1	2	0	M	1
13	T	4	0	1	1	M	1
13	T	5	1	2	0	M	1
14	T	5	0	0	1	F	1
15	T	2	1	0	0	F	1
15	T	3	0	0	1	F	1
15	T	5	1	1	0	F	1
17	T	2	1	1	0	F	1
18	T	1	1	1	0	M	1
18	T	3	1	0	0	F	1
19	T	2	0	1	1	M	1
20	T	1	1	0	0	F	1
20	T	4	1	1	0	F	1
20	T	4	1	2	1	F	0
21	T	3	1	1	0	F	1
22	T	1	1	0	0	M	1
22	T	1	1	0	1	F	0
22	T	4	1	2	0	M	1
22	T	5	1	0	0	F	1
23	T	5	1	2	0	F	0
24	T	1	0	1	0	F	1
24	T	2	1	2	1	M	0
26	T	4	1	0	0	F	1
27	T	1	1	1	1	M	0
27	T	2	0	0	1	M	1
30	T	2	0	2	0	M	1
31	T	3	0	1	1	M	1
31	T	5	0	2	0	M	1
33	T	1	1	2	0	M	0
33	T	2	1	0	1	F	0
33	T	3	1	2	0	F	0
33	T	4	0	0	1	M	1
35	T	2	1	1	1	F	0
37	T	4	1	2	0	F	0
38	T	2	0	2	1	F	0
39	T	2	0	0	0	F	1
41	T	1	1	0	1	M	0
44	T	2	0	2	0	F	0
51	T	5	0	1	0	F	1
52	T	2	1	0	0	M	1
53	T	2	0	1	0	F	1
54	T	3	0	0	1	M	1
55	T	2	1	1	0	M	1
57	T	3	0	2	0	M	1
60	T	1	0	0	0	F	1
61	T	3	1	2	1	M	0
62	T	5	1	1	0	M	1
